authors,title,isbn
"Kevlin Henney","97 Things Every Programmer Should Know: Collective Wisdom from the Experts",9780596809485
"Robert C. Martin","The Robert C. Martin Clean Code Collection (Collection)",9780132911221
"Scott Meyers","Effective C++: 55 Specific Ways to Improve Your Programs and Designs",0321334876
"Scott Meyers","More Effective C++: 35 New Ways to Improve Your Programs and Designs, PDF Version",020163371X
"Henriette Baumann, Patrick Grassle, Philippe Baumann","UML 2.0 in Action: A project-based tutorial",9781847190420
"Martin Reddy","API Design for C++",9780123850034
"Herb Sutter, Andrei Alexandrescu","C++ Coding Standards: 101 Rules, Guidelines, and Best Practices",0321113586
"Chris Sims, Hillary Louise Johnson","Scrum: a Breathtakingly Brief and Agile Introduction",9781937965044
"Erich Gamma, Richard Helm, Ralph Johnson, John M. Vlissides","Design Patterns: Elements of Reusable Object-Oriented Software",0201485370
"Steve McConnell","Code Complete",9780735619678
"Herb Sutter","Exceptional C++: 47 Engineering Puzzles, Programming Problems, and Solutions",9780201615623
"Fabien Sanglard","Game Engine Black Book: Wolfenstein 3D",9781727646702
"Bjarne Stroustrup",The C++ Programming Language (4th Edition),9780321563842
"Cay S. Horstmann",Core Java for the Impatient,9780321996329
"David Kushner",Masters of Doom: How Two Guys Created an Empire and Transformed Pop Culture,9780812972153
